Date,variable,concentration_linear,daily_flux_linear,concentration_logqc,daily_flux_logqc,concentration_sensor,daily_flux_sensor,concentration_qc,daily_flux_qc
5/4/17,SPM,2.48,2320.46,1.50,1407.73,44.75,1745.42,1.84,1722.69
5/4/17,DOC,5.58,5221.27,5.54,5184.00,134.98,5264.52,5.42,5069.09
5/5/17,SPM,2.48,1952.48,1.73,1362.30,44.34,1455.29,1.73,1366.75
5/5/17,DOC,5.62,4424.88,5.59,4405.56,135.00,4431.22,5.36,4219.10
5/6/17,SPM,2.48,1596.00,1.31,843.33,44.33,1189.64,1.63,1051.64
5/6/17,DOC,5.66,3642.84,6.22,4003.42,136.63,3666.62,5.30,3412.25
5/7/17,SPM,2.48,1416.60,0.97,552.00,44.01,1048.53,1.58,904.24
5/7/17,DOC,5.70,3256.31,6.05,3457.62,136.63,3255.00,5.27,3012.66
5/8/17,SPM,2.48,1275.91,3.11,1601.52,44.06,945.62,1.54,793.84
5/8/17,DOC,5.73,2953.59,5.19,2675.08,136.27,2924.70,5.25,2702.25
5/9/17,SPM,2.48,1147.15,2.83,1311.09,44.06,850.31,1.50,696.78
5/9/17,DOC,5.77,2674.13,5.61,2599.47,135.27,2610.79,5.23,2420.37
5/10/17,SPM,2.48,885.17,1.19,427.16,44.03,655.84,1.43,510.89
5/10/17,DOC,5.81,2077.77,5.29,1891.98,135.42,2017.07,5.18,1852.78
5/11/17,SPM,2.48,868.60,1.87,655.03,44.25,646.86,1.42,499.78
5/11/17,DOC,5.85,2052.97,4.58,1605.52,134.46,1965.68,5.18,1817.53
5/12/17,SPM,2.48,918.53,1.05,389.38,44.58,689.28,1.44,533.95
5/12/17,DOC,5.89,2185.90,5.29,1961.86,133.84,2069.46,5.19,1925.41
5/13/17,SPM,2.47,942.30,0.92,352.03,44.14,700.33,1.45,550.50
5/13/17,DOC,5.93,2257.76,5.12,1950.60,134.51,2134.05,5.19,1977.10
5/14/17,SPM,2.47,990.43,0.72,289.40,44.03,734.33,1.46,584.29
5/14/17,DOC,5.97,2389.19,4.82,1928.89,134.51,2243.55,5.20,2081.65
5/15/17,SPM,2.47,1041.51,0.72,303.62,44.21,775.51,1.47,620.75
5/15/17,DOC,6.01,2529.33,4.71,1981.87,133.67,2345.03,5.21,2192.94
5/16/17,SPM,2.47,1133.80,2.50,1147.90,44.06,841.61,1.50,688.07
5/16/17,DOC,6.05,2771.89,5.50,2521.61,133.45,2549.16,5.22,2394.63
5/17/17,SPM,2.47,2057.23,1.80,1499.08,45.74,1585.60,1.77,1469.65
5/17/17,DOC,6.09,5062.92,5.42,4509.73,134.85,4674.59,5.37,4470.77
5/18/17,SPM,2.47,3588.41,3.18,4622.86,48.20,2914.94,2.21,3203.22
5/18/17,DOC,6.12,8889.60,6.89,10003.02,139.68,8447.96,5.62,8161.45
5/19/17,SPM,2.47,3640.58,3.16,4657.62,46.39,2847.29,2.22,3272.83
5/19/17,DOC,6.16,9078.09,6.62,9745.51,145.55,8932.66,5.63,8294.40
5/20/17,SPM,2.47,2932.28,1.02,1206.45,45.44,2246.56,2.02,2395.09
5/20/17,DOC,6.20,7359.65,5.74,6805.11,147.87,7310.54,5.52,6545.39
5/21/17,SPM,2.47,2409.82,1.41,1377.17,45.13,1834.01,1.87,1822.28
5/21/17,DOC,6.24,6087.59,5.58,5442.37,148.28,6026.02,5.43,5297.37
5/22/17,SPM,2.47,2082.34,1.77,1488.62,44.81,1573.93,1.77,1495.64
5/22/17,DOC,6.28,5294.27,5.43,4580.23,148.47,5214.65,5.38,4533.54
5/23/17,SPM,2.47,2228.31,1.59,1435.62,44.47,1671.64,1.82,1638.81
5/23/17,DOC,6.32,5701.72,5.50,4963.40,148.03,5564.89,5.40,4873.80
5/24/17,SPM,2.47,2433.51,1.39,1369.57,44.42,1823.94,1.88,1848.41
5/24/17,DOC,6.36,6266.45,5.59,5509.53,147.84,6070.77,5.44,5356.65
5/25/17,SPM,2.47,2368.80,1.45,1389.26,44.57,1782.06,1.86,1781.87
5/25/17,DOC,6.40,6138.47,5.56,5337.99,146.80,5868.84,5.42,5205.21
5/26/17,SPM,2.47,2201.92,1.62,1444.32,44.68,1660.76,1.81,1613.92
5/26/17,DOC,6.44,5741.97,5.49,4897.40,142.77,5306.61,5.40,4815.28
5/27/17,SPM,2.47,2125.15,1.71,1471.77,44.41,1593.38,1.79,1539.02
5/27/17,DOC,6.48,5576.48,5.45,4697.26,141.52,5077.94,5.39,4637.61
5/28/17,SPM,2.47,1851.92,1.56,1169.96,44.13,1380.25,1.71,1282.42
5/28/17,DOC,6.51,4889.77,5.88,4412.70,138.94,4345.32,5.34,4008.78
5/29/17,SPM,2.47,1344.55,1.40,763.76,44.53,1011.23,1.56,851.63
