datetime,value,station_id,station_name,parameter,parameter_name,parameter_name_eng,method,unit,correction,quality
2015-07-23 11:00:00+00:00,2.296812,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-07-24 11:00:00+00:00,2.208579,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-07-25 11:00:00+00:00,2.163728,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-07-26 11:00:00+00:00,2.581158,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-07-27 11:00:00+00:00,2.375833,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-07-28 11:00:00+00:00,2.311208,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-07-29 11:00:00+00:00,3.910215,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-07-30 11:00:00+00:00,8.000251,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-07-31 11:00:00+00:00,9.32811,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-08-01 11:00:00+00:00,7.52051,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-08-02 11:00:00+00:00,4.835637,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-08-03 11:00:00+00:00,4.206146,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-08-04 11:00:00+00:00,4.195397,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-08-05 11:00:00+00:00,5.377434,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-08-06 11:00:00+00:00,6.046778,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-08-07 11:00:00+00:00,5.956526,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-08-08 11:00:00+00:00,5.48932,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
